날짜,기사제목
 2023.05.25 10:58,"한덕수 총리, 카카오모빌리티 부스 방문"
 2023.05.25 10:55,카카오 모빌리티 미래 비행 이동체 관람하는 한덕수 총리
 2023.05.25 10:54,카카오 모빌리티 미래 비행 이동체 관람하는 한덕수 총리
 2023.05.24 18:25,"카카오모빌리티, 대구 달구벌 자율차 2차 서비스"
 2023.05.24 18:23,"카카오모빌리티, 여객⋅생활물류 배송 통합한 ‘달구벌자율차’ 2차 연도..."
 2023.05.24 17:59,"카카오모빌리티, 자율차로 화물도 나른다"
 2023.05.24 11:02,"카카오모빌리티, 달구벌자율차 2차 서비스 개시"
 2023.05.24 18:20,"'RE100 가입' 카카오, ESG 경영 강화"
 2023.05.24 14:12,"카카오 ""2040년까지 재생에너지 100% 전환"""
 2023.05.24 09:55,"카카오, RE100 가입…17년내 100% 재생에너지 전환"
 2023.05.24 09:52,"카카오 ""2040년까지 사용 전력 100% 재생에너지 전환"""
 2023.05.24 09:32,"카카오, ‘RE100′ 가입... “2040년까지 100% 재생에너지..."
 2023.05.24 09:30,"카카오 ""신규 데이터센터 전력 100% 재생에너지 전환""…'RE100..."
 2023.05.24 09:15,"카카오, RE100 가입.. ""2040년까지 사용 전력 100% 재생..."
 2023.05.24 18:16,中 한한령 강화 우려에…네이버·카카오 주가 약세
 2023.05.24 17:25,카카오택시 대항마? …IM택시-타다 올 상반기 합병 불투명
 2023.05.24 11:22,"카카오, 2040년까지 100％ 재생에너지로"
 2023.05.24 10:50,"카카오, RE100 가입...2040년 100% 재생에너지 전환 목표"
 2023.05.24 09:36,"카카오, 'RE100' 가입…""2040년까지 재생에너지 100% 전환..."
 2023.05.24 09:28,"카카오, 2040년까지 100% 재생에너지로…‘RE100’ 가입"
 2023.05.24 09:11,"행정공제회, ‘카카오 신사옥 지분 절반’ 매각 계획 철회"
 2023.05.24 07:40,"수익성 고삐 죄는 카카오, 떠는 적자 계열사"
 2023.05.23 17:51,"카카오·사우디, 문화·결제·모빌리티·플랫폼 협력 논의"
 2023.05.23 17:39,"카카오, 사우디에 러브콜…플랫폼·콘텐츠사업 진출 모색"
 2023.05.23 17:15,네카오 사우디에 IT 한류 수출...카카오도 관광 인프라 구축
 2023.05.23 14:37,"카카오, 사우디 관광청과 협력…K-콘텐츠·모빌리티·페이 수출한다"
 2023.05.23 14:04,"카카오, 사우디 관광청과 모바일 인프라 구축 협력"
 2023.05.23 16:32,"[시그널] 교보생명, 카카오 손잡고 악사손보 품는다"
 2023.05.23 15:52,"카카오, 북미 유명 만화 출판사와 ‘사내 맞선’ 단행본 출간"
 2023.05.23 09:24,"카카오엔터 '사내맞선', 북미 단행본 출간"
 2023.05.23 09:18,"카카오엔터, 북미 시장에 ‘사내 맞선’ 단행본 출간"
 2023.05.23 09:12,"카카오엔터 '사내맞선', 북미서 단행본 출간"
 2023.05.23 15:48,네이버 이어 카카오도 사우디 '러브콜'…위상 높이는 'K-IT'
 2023.05.23 14:46,"카카오, ‘IT 한류’ 이끈다…사우디서도 카카오페이·카카오톡·카카오페..."
