날짜,기사제목
 2023.04.23 15:02,"[르포]포스코퓨처엠 세종공장 가보니..""K배터리 음극재 생산, 자부심..."
 2023.04.23 15:02,"[르포] 1300도 ‘뜨거운 열’ 활활…포스코퓨처엠, 음극재 공장은 ..."
 2023.04.21 11:04,"포스코퓨처엠, 3000억 녹색채권 발행"
 2023.04.21 09:53,"포스코퓨처엠, 배터리 업계 첫 ‘한국형 녹색채권’ 발행"
 2023.04.21 09:29,"포스코퓨처엠, 배터리 업계 첫 '한국형 녹색채권' 발행"
 2023.04.21 09:08,"포스코퓨처엠, ‘한국형 녹색채권’ 3000억원 발행"
 2023.04.21 08:40,"포스코퓨처엠, 3000억원 규모 한국형 녹색채권 발행"
 2023.04.21 09:43,"포스코퓨처엠, '테슬라 쇼크'에 장 초반 4.5% 하락[특징주]"
 2023.04.21 09:37,"포스코퓨처엠, '한국형 녹색채권' 3000억원 발행…양극재 투자"
 2023.04.21 09:30,"포스코퓨처엠, 한국형 녹색채권 발행…배터리 업계 최초"
 2023.04.21 09:13,"포스코퓨처엠, 한국형 녹색채권 '3천억' 발행…양극재 투자"
 2023.04.21 09:06,"포스코퓨처엠, 3000억 규모 한국형 녹색채권 발행"
 2023.04.21 08:58,"포스코퓨처엠, 한국형 녹색채권 3000억 발행키로"
 2023.04.20 17:50,건설ETF가 2차전지보다 높다고?… '포스코퓨처엠' 편입 효과
 2023.04.19 18:28,"포스코퓨처엠, 회사채 발행에 예정액 7배 1조6백억 몰려"
 2023.04.19 16:24,"오늘도 이차전지 강했다…포스코퓨처엠, 엘앤에프 주가 '쑥'"
 2023.04.19 16:15,"""네이버도 제쳤다""…2차전지 소재 포스코퓨처엠, 코스피 시총 10위 우..."
 2023.04.19 16:00,[시황종합]증시 강보합 마감…포스코퓨처엠·희토류 관련주 강세
 2023.04.19 15:34,"[특징주] 포스코퓨처엠, 목표가 상향에 재차 52주 신고가"
 2023.04.19 11:43,"코스피, 상승해 2570선…포스코퓨처엠 8%대 급등"
 2023.04.19 09:33,"포스코퓨처엠, 타사보다 높은 경쟁력…목표가↑-현대차"
 2023.04.19 08:49,"현대차증권, 포스코퓨처엠 목표가↑…""시장점유율 확대 기대"""
 2023.04.19 08:33,"포스코퓨처엠, 2Q부터 양극재·음극재 출하량 급증…목표가↑-현대차"
 2023.04.18 09:51,"[특징주]포스코퓨처엠, 신고가 경신"
