날짜,기사제목
 2023.06.08 11:10,"포스코인터, 현대차에 685만대 구동모터코아 공급"
 2023.06.08 10:13,"포스코인터, 현대차 구동모터코아 685만대 공급계약"
 2023.06.08 17:50,'현대 수소차' 독주…글로벌 완성차 추격 시동
 2023.06.08 15:26,"“전기차 부품 추가요”…포스코인터, 현대차에 685만대분 공급 확정"
 2023.06.08 13:43,"포스코모빌리티솔루션, 현대차에 전기차부품 공급 확대"
 2023.06.08 11:01,"포스코인터내셔널 ""현대차에 전기차 구동모터코아 685만대 공급"""
 2023.06.08 10:59,"포스코인터, 현대차에 친환경차 부품 공급…10년간 685만대"
 2023.06.08 10:57,"포스코인터, 현대차에 친환경차 구동모터코아 250만대 공급"
 2023.06.08 10:23,"포스코인터, 현대차 차세대 전기차 플랫폼에 구동모터코아 공급"
 2023.06.08 10:17,"포스코인터, 현대차 최고급 플래그십 전기차에 250만대 구동모터코아 ..."
 2023.06.08 10:14,"포스코인터, 현대차 최고급 전기차 '250만대' 구동모터코아 공급"
 2023.06.08 14:19,[오늘의 그래픽]지난해 고용창출 1위 현대차 '1.4만명'
 2023.06.08 14:14,"[주가동향] 현대차證 ""포스코홀딩스, 2분기 영업익 1.3조원 전망"""
 2023.06.08 16:00,"현대차·기아, 개소세 인하 종료에 특별 무이자 할부 프로그램 시행"
 2023.06.08 15:26,"“전기차 부품 추가요”…포스코인터, 현대차에 685만대분 공급 확정"
 2023.06.08 13:43,"포스코모빌리티솔루션, 현대차에 전기차부품 공급 확대"
