날짜,기사제목
 2023.05.31 10:00,"LG전자, 'LG 스탠바이미(StanbyME) Go' 출시"
 2023.05.31 10:00,"LG전자, 'LG 스탠바이미(StanbyME) Go' 출시"
 2023.05.31 08:25,전장 사업 기대감에 52주 신고가 찍은 LG전자…증권가도 목표가 줄상향
 2023.05.31 07:31,"LG전자, '의료용 모니터' 사업 강화 나선다…왜?"
 2023.05.31 06:31,‘7만전자’ 안 부럽네…전장사업 기대감에 LG전자 주가 훨훨
 2023.05.30 21:04,"로이터 “삼성전자·LG전자, 베트남 정부에 최저한세 보상 요구”"
 2023.05.30 19:53,"GS건설-LG전자, 스마트코티지 상품화 위해 손잡았다"
 2023.05.30 18:02,"GS건설, LG전자와 가전·공간 복합사업 협력"
 2023.05.30 13:30,"GS건설, LG전자와 '스마트코티지' 소형주택 상품화 개발"
 2023.05.30 12:18,"GS건설-LG전자, 소형 모듈러주택 '스마트코티지' 개발 '맞손'"
 2023.05.30 11:52,"GS건설-LG전자, '스마트코티지 상품화 개발' 업무협약 체결"
 2023.05.30 11:13,"GS건설, LG전자와 스마트코티지 상품화 개발 나서"
 2023.05.30 11:00,"LG전자·GS건설, 소형모듈러 주택 '스마트코티지' 협력"
 2023.05.30 18:15,"""LG전자 뛰어넘어라"" 사내 창업팀 모집"
 2023.05.30 14:58,"LG전자, 창업주 정신 이어받아 유니콘 재목될 사내벤처 키운다"
 2023.05.30 10:02,"“금성사 창업 정신 계승할 벤처 발굴” LG전자, ‘스튜디오341’ ..."
 2023.05.30 10:01,"LG전자, '스튜디오341'로 금성사 창업 정신 잇는다"
 2023.05.30 10:00,'금성사의 도전' 이을 사내벤처 키운다…LG전자 '스튜디오341'
 2023.05.30 17:43,"LG전자, '깜짝' 급등에 52주 신고가…“전장사업 기대감”"
 2023.05.30 17:13,"LG전자, 전장 사업 기대감에 52주 신고가…증권가도 목표가↑"
 2023.05.30 15:48,"“이젠 가전 아닌 전장 회사”…11% 급등한 LG전자 주가, 52주 ..."
 2023.05.30 15:37,"[특징주] LG전자, 11% 급등에 52주 신고가…""전장사업 기대감""..."
 2023.05.30 13:18,"LG전자, 전장 사업 기대감에 9% 상승 중...52주 신고가 경신"
 2023.05.30 11:32,"""전장사업 가치 2배 뛴다""…9% 오른 LG전자, 52주 신고가"
 2023.05.30 11:08,"[특징주] LG전자, 10% 급등에 52주 신고가…""전장 사업 기대감..."
 2023.05.30 17:20,"'전장' 업은 LG전자, 10% 날아올랐다"
 2023.05.30 16:44,"""깜짝이야!"" 급등 LG전자에 무슨 일?…코스피 함께 웃었다"
 2023.05.30 15:52,"[데이터로 보는 증시]LG전자·삼성전자, 기관·외국인 코스피 순매수 1..."
 2023.05.30 14:28,"LG전자, ‘이동식 주택 사업’에 진심을 내비췄다"
 2023.05.30 11:58,"'신개념 모듈 주택' 만든 LG전자, GS건설과 사업화 박차"
 2023.05.30 11:19,"LG전자·GS건설, 세컨하우스 ‘소형 모듈러 주택’ 상품화 손잡다"
 2023.05.30 11:03,"LG전자, 소형 모듈러 주택 상품화 위해 GS건설과 맞손"
 2023.05.30 11:01,"LG전자-GS건설, 소형 모듈러 주택 사업 손잡는다"
 2023.05.30 14:24,"LG전자, 사내 벤처 키운다…스튜디오 341 지원자 모집"
 2023.05.30 11:18,"LG전자, 사내벤처 육성 ‘스튜디오341’ 가동"
 2023.05.30 11:16,"‘금성사 341번지’를 기억하며...LG전자, 4억 쏘는 사연은"
 2023.05.30 11:08,"'금성사' 정신 가진 사내벤처 발굴한다…LG전자, '스튜디오 341'..."
 2023.05.30 10:02,"창업 자금 최대 4억 지원…LG전자, 사내벤처 '스튜디오341' 가동"
 2023.05.30 10:01,"LG전자, 유망 산업 스타트업 육성…사내벤처 프로그램 가동"
 2023.05.30 10:01,"LG전자, 사내벤처 프로그램 '스튜디오341' 가동"
 2023.05.30 10:01,"LG전자, 사내벤처 선발 프로그램 ‘스튜디오341’ 지원자 모집"
 2023.05.30 10:00,LG전자 사내벤처 발굴 나서…'스튜디오341' 가동
 2023.05.30 10:00,"LG전자, 사내벤처 '스튜디오341' 가동...선발·육성과정 '개선'"
 2023.05.30 14:01,"브이원텍, LG전자와 77억 규모 2차전지 검사시스템 공급계약 [주목 ..."
 2023.05.30 13:55,"브이원텍, LG전자와 77억 규모 공급계약 체결"
 2023.05.30 13:34,"LG전자, 불황 돌파구는 'B2B'…사업비중 키운다"
 2023.05.30 13:15,"LG전자·GS건설, ‘LG 스마트코티지’ 상품화 위해 손잡는다"
 2023.05.30 13:12,"LG전자-GS건설, 스마트코티지 상품화 개발 위한 업무협약"
 2023.05.30 13:10,"GS건설-LG전자, 스마트코티지 상품화 개발 '맞손'"
 2023.05.30 12:27,"GS건설-LG전자, ‘스마트코티지’ 상품화 개발 진행"
 2023.05.30 11:02,"LG전자·GS건설, 소형모듈러 주택 '스마트코티지' 협력"
 2023.05.30 11:00,"LG전자- GS건설, 'LG 스마트코티지' 상품화 협력"
 2023.05.30 11:00,"LG전자- GS건설, 'LG 스마트코티지' 상품화 협력"
 2023.05.30 11:18,[주식 초고수는 지금] 전장사업부 성장 기대감에 LG전자 순매수 1위
 2023.05.30 11:14,"LG전자, 전장사업부 가치 할증 기대감에 주가 급등"
 2023.05.30 11:01,"LG전자, GS건설과 맞손…모듈러 주택 ‘스마트코티지’ 상품화 착수"
 2023.05.30 11:01,"LG전자·GS건설, 'LG 스마트코티지' 상품화 맞손"
 2023.05.30 11:01,"LG전자, GS건설과 '스마트코티지' 사업화 위해 맞손"
 2023.05.30 10:29,"“삼전만 있냐, 나도 있다”…연휴 끝나자마자 날아 오르는 LG전자 주가..."
 2023.05.30 09:46,"""홈뷰티도 가전명가에서""…LG전자 홈뷰티 확장중"
 2023.05.30 08:23,"LG전자, 목표주가 상향은 전장사업이 좌우할 것 -하나"
 2023.05.30 08:20,"LG전자, 2025년 마그나JV 실적에 본격 기여... 가치 2배-하나"
 2023.05.30 07:27,"""LG전자, 마그나 JV 2025년 본격 기여…9.9조원 평가""-하나"
 2023.05.29 15:39,"LG전자, 'LG 디오스 쿠킹 클래스' 2배 늘린다"
 2023.05.29 11:36,"""직접 써보고 사세요""…LG전자, 프리미엄 가전 체험행사 확대"
 2023.05.29 11:12,"""써보고 사세요""…LG전자, 주방가전 체험 마케팅 강화"
 2023.05.29 11:05,"LG전자, ‘디오스 쿠킹클래스’ 2배 늘려…체험기회 확대"
 2023.05.29 11:01,"LG전자, 디오스 쿠킹 클래스 2배 확대…체험 마케팅 강화"
 2023.05.29 11:01,"LG전자, ‘디오스 쿠킹 클래스’ 전년比 2배 늘려…”수업에서 주방가..."
 2023.05.29 11:00,LG전자 쿠킹 클래스
 2023.05.29 11:00,LG전자 쿠킹 클래스
 2023.05.29 11:00,"""써보고 사세요""…LG전자, 체험 마케팅 '쿠킹 클래스' 강화"
 2023.05.29 15:18,"LG전자, 미세 초음파 클렌저 'LG 프라엘 워시멜로' 출시"
 2023.05.29 11:31,"LG전자, 미세 초음파 클렌저 'LG프라엘 워시멜로' 출시"
 2023.05.29 10:33,"미세 초음파로 피지 제거…LG전자, 프라엘 워시멜로 출시"
 2023.05.29 10:02,"LG전자, 미세 초음파 클렌저 'LG 프라엘 워시멜로' 출시"
 2023.05.29 10:01,"LG전자, 미세 초음파 클렌저 ‘LG 프라엘 워시멜로’ 출시…”피부자..."
